"County","Sector","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","Total Usage"
"SAN FRANCISCO","Residential","    1503.137790","    1450.285429","    1468.712311","    1453.533390","    1429.672529","    1436.097607","    1501.001214","    1511.063574","    1523.545732","    1517.565465","    1500.921547","    1484.029752","    1467.239468","    1490.857196","    1444.288311","    1381.124787","    1363.695520","    1365.713685","    1345.601676","    1414.769693","    1431.176769","    1355.950789","    1315.523907","    1273.247416","    1280.021070","    1257.328920","    1252.797683","    1210.064743","    1244.609201","    1218.100550","   41891.677724"
"SAN JOAQUIN","Residential","    1893.111234","    1814.316709","    1866.136729","    1756.609350","    1742.194793","    1762.887488","    1738.584773","    1752.079508","    1706.859165","    1683.758802","    1726.070025","    1706.420641","    1700.603877","    1715.330577","    1651.909646","    1631.669880","    1575.103968","    1474.048394","    1410.462637","    1461.392803","    1381.496931","    1359.676681","    1320.510486","    1309.102617","    1213.722881","    1193.755366","    1202.847795","    1202.711990","    1183.308681","    1160.007393","   46296.691820"
"SAN LUIS OBISPO","Residential","     647.297553","     641.091234","     649.125047","     633.941084","     631.583480","     629.920009","     659.569139","     664.364856","     655.584634","     656.553079","     667.824610","     672.854722","     671.315855","     682.250670","     651.061226","     636.738050","     624.819606","     542.043699","     625.807411","     599.985287","     586.123268","     561.133142","     538.657641","     524.969428","     505.762762","     493.122675","     493.668203","     483.462830","     493.915381","     487.020224","   18011.566805"
"SAN MATEO","Residential","    1565.436817","    1508.725747","    1521.918332","    1498.720716","    1504.937217","    1505.269862","    1572.616531","    1585.181551","    1604.590693","    1617.115393","    1614.052161","    1612.678086","    1593.131096","    1597.440121","    1568.290704","    1545.644545","    1514.107321","    1513.291510","    1475.197714","    1586.723337","    1591.034454","    1534.497316","    1483.444353","    1445.210949","    1413.561677","    1412.081315","    1415.799756","    1371.915575","    1400.528192","    1392.880024","   45566.023065"
"SANTA BARBARA","Residential","     768.514569","     756.566541","     763.764428","     757.323237","     764.199791","     804.131553","     831.170157","     837.186240","     800.386786","     801.280897","     808.922485","     815.568947","     813.625428","     773.055820","     807.125288","     789.708713","     772.939305","     742.538202","     736.790972","     773.080579","     737.409079","     719.325395","     706.492920","     682.029493","     672.124025","     670.743134","     662.362487","     655.938051","     659.268904","     647.314279","   22530.887705"
"SANTA CLARA","Residential","    4045.623093","    3851.299224","    3958.432151","    3801.935486","    3849.222461","    3844.162094","    3912.690376","    3885.492154","    3922.935292","    3922.059535","    3968.475602","    3954.198220","    3899.427232","    4091.192453","    3884.901278","    3777.311967","    3856.616934","    3631.724994","    3632.523894","    3816.306476","    3773.114663","    3649.258938","    3509.355246","    3408.446035","    3295.025941","    3205.731343","    3240.047942","    3148.037332","    3163.287437","    3137.451293","  111036.287086"
"SANTA CRUZ","Residential","     553.414177","     544.035835","     553.263908","     556.412628","     551.553355","     558.750250","     595.843339","     600.929201","     604.171835","     604.543679","     595.816998","     586.742727","     585.521407","     568.045287","     563.956244","     570.841752","     544.607220","     542.870673","     545.836675","     599.387426","     589.335133","     564.512907","     542.318643","     528.213716","     518.464139","     514.354866","     515.416561","     498.169490","     510.493279","     502.601156","   16710.424506"
"SHASTA","Residential","     738.040415","     740.892608","     757.553974","     733.714409","     719.169754","     724.068691","     747.931837","     747.885780","     746.291133","     746.300540","     756.699264","     752.538602","     741.052583","     743.391257","     710.080790","     712.931530","     689.581582","     668.133612","     639.896422","     653.242309","     642.079804","     634.757591","     626.990120","     661.759299","     615.819594","     608.054044","     598.225337","     605.132082","     606.142311","     578.296518","   20646.653792"
"SIERRA","Residential","      12.821663","      13.220859","      13.623342","      15.775399","      14.458805","      13.275250","      13.903601","      14.200185","      14.044844","      14.377963","      14.395347","      14.503061","      16.766479","      14.853666","      15.222732","      15.111007","      15.062015","      14.777045","      14.826266","      14.627973","      14.848177","      14.731826","      13.908981","      13.839174","      13.550549","      13.418544","      10.250577","       9.834690","      13.437381","      13.450056","     421.117457"
"SISKIYOU","Residential","     226.828503","     221.879329","     234.795121","     220.283366","     220.571347","     215.407966","     232.473309","     228.134916","     235.501173","     236.686180","     240.150238","     246.868028","     243.949282","     236.555105","     235.506312","     229.831935","     231.001682","     218.073139","     212.440059","     222.355284","     222.445014","     222.079025","     226.711535","     284.668763","     208.569589","     219.433100","     211.169746","     221.741968","     214.121954","     191.862981","    6812.095949"
